Object ID,National Inventory of Dams ID (NID ID),Other Structure ID,Federal ID,Data Last Updated,Dam Name,Other Names,Owner Types,Primary Owner Type,State or Federal Agency ID,Number of Associated Structures,Designer Names,Non-Federal Dam on Federal Property,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Source Agency,Latitude (North–South),Longitude (East–West),State or Territory,County and State,Nearest City or Town,Distance to Nearest City/Town (Miles),River or Stream,Congressional Representative District,Congressional Representative,Federal Agency Owner,Federal Agency Involvement in Funding,Federal Agency Involvement in Design,Federal Agency Involvement in Construction,Federal Agency Involvement in Regulatory,Federal Agency Involvement in Inspection,Federal Agency Involvement in Operation,Federal Agency Involvement – Other,Primary Purpose,Purposes,Primary Dam Type,Dam Types,Core Types,The material upon which dam is founded,Dam Height (feet),Hydraulic Height (feet),Structural Height (feet),National Inventory of Dams (NID) Height,Dam Length (feet),Dam Volume (cubic yards),Year Completed,National Inventory of Dams (NID) Storage,Maximum Storage,Normal Storage (acre feet),Surface Area (acres),Drainage Area (Square Miles),Maximum Discharge,Spillway Type,Spillway Width (feet),Number of Locks,Length of Locks (feet),Lock Width (feet),Year Modified,Outlet Gates,Number of Associated Structures,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Dam Condition Assessment,Recent Dam Assessment Date,Emergency Action Plan (EAP) Prepared,Emergency Action Plan (EAP) Last Reviewed Date,SE_ANNO_CAD_DATA,Former Names,Is Associated Structure?,American Indian/Alaska Native/Native Hawaiian,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,Natural Resources Conservation Service (NRCS) Watershed Dam Authorization,Operational Status,Operational Status Date,Website URL,x,y
1009,CA00890,,CA00890,11/12/2024 12:00:00 PM,Ed R. Levin,,Local Government,Local Government,1057,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,37.4539,-121.8608,California,"Santa Clara, California",Milpitas,2.5,Tr Ar De Los Coches,"Congressional District 17, California",Ro Khanna (D),,,,,,,,,Water Supply,"Irrigation, Recreation, Water Supply",Earth,Earth,,,38,33,,38,470,,1968,150,150,,13,0.13,,,,,,,,,,2/20/2024 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,6/29/2023 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-121.8608,37.4539
1010,CA00585,,CA00585,9/13/2024 12:00:00 PM,Dick Week,,Private,Private,3414.003,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,38.6503,-122.4133,California,"Napa, California",,,Tr Pope Creek,"Congressional District 04, California",Mike Thompson (D),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,70,66,,70,1050,,1955,3140,3140,,129,,,,,,,,,,,5/1/2024 12:00:00 PM,1,Significant,Satisfactory,9/1/2017 12:00:00 PM,,11/1/2022 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.4133,38.6503000000001
1011,CA00985,,CA00985,9/13/2024 12:00:00 PM,Naz Lake,,Private,Private,1418,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,38.4851,-122.4144,California,"Napa, California",,,Tr Napa River,"Congressional District 04, California",Mike Thompson (D),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,29,26,,29,795,,1955,150,150,,20,0.16,,,,,,,,,,1/25/2024 12:00:00 PM,1,Significant,Satisfactory,9/1/2017 12:00:00 PM,,10/31/2023 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.4144,38.4851
1012,CA00986,,CA00986,9/13/2024 12:00:00 PM,Burns,,Private,Private,1419,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,38.6476,-122.4905,California,"Napa, California",,,Tri Swartz Cr,"Congressional District 04, California",Mike Thompson (D),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,39,35,,39,480,,1956,62,62,,5,0.07,,,,,,,,,,4/3/2024 12:00:00 PM,1,Significant,Satisfactory,9/1/2017 12:00:00 PM,,7/21/2023 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.4905,38.6476000000001
1013,CA00678,,CA00678,11/11/2024 12:00:00 PM,Upper Howell,,Public Utility,Public Utility,622.003,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,37.1895,-122.016,California,"Santa Clara, California",,,Rundell Creek,"Congressional District 16, California",Anna G. Eshoo (D),,,,,,,,,Water Supply,Water Supply,Earth,Earth,,,36,33,,36,640,,1878,243,243,,13,0.13,,,,,,,,,,4/17/2024 12:00:00 PM,1,Significant,Satisfactory,9/1/2017 12:00:00 PM,,6/6/2024 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.016,37.1895000000001
1014,CA00679,,CA00679,4/2/2025 12:00:00 PM,Williams,,Public Utility,Public Utility,622.004,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,37.1212,-121.9068,California,"Santa Clara, California",,,Los Gatos Creek,"Congressional District 19, California",Anna G. Eshoo (D),,,,,,,,,Water Supply,Water Supply,Gravity,Gravity,,,69,68,,69,87,,1895,160,160,,3,5.7,,,,,,,,,,5/21/2024 12:00:00 PM,1,Low,Satisfactory,9/1/2017 12:00:00 PM,,,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-121.9068,37.1212
1015,CA00688,,CA00688,11/12/2024 12:00:00 PM,Mill Creek,,Private,Private,630,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,37.1164,-122.2124,California,"Santa Cruz, California",,,Mill Creek,"Congressional District 19, California",Anna G. Eshoo (D),,,,,,,,,Water Supply,"Tailings, Water Supply",Earth,Earth,,,76,63,,76,250,,1889,223,223,,12,0.94,,,,,,,,,,6/19/2024 12:00:00 PM,1,High,Fair,6/2/2021 12:00:00 PM,,4/28/2021 12:00:00 PM,System.Byte[],,No,,No,No,N/A,"Under Investigation, Planning, Permitting, or Design for Remediation",2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.2124,37.1164000000001
1016,CA00690,,CA00690,9/13/2024 12:00:00 PM,Forest Lake,,Public Utility,Public Utility,649,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,36.5919,-121.9409,California,"Monterey, California",,,Offstream,"Congressional District 19, California",Jimmy Panetta (D),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,65,59,,65,2365,,1892,352.6,352.6,,17.1,0.05,,,,,,,,,,11/14/2023 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,1/31/2024 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-121.9409,36.5919000000001
1022,CA00989,,CA00989,9/13/2024 12:00:00 PM,Donovan,,Private,Private,1422,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,38.5684,-122.7667,California,"Sonoma, California",,,Tr Windsor Creek,"Congressional District 02, California",Jared Huffman (D),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,40,36,,40,295,,1953,70,70,,4,0.18,,,,,,,,,,11/14/2023 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.7667,38.5684000000001
1027,CA00031,,CA00031,9/13/2024 12:00:00 PM,Eureka,,State,State,1.042,0,,Yes,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,39.7636,-120.713,California,"Plumas, California",Plumas Eureka,3.8,Eureka Creek,"Congressional District 03, California",Doug LaMalfa (R),,,,,,,,,Water Supply,"Recreation, Water Supply",Earth,Earth,,,29,15,,29,410,,1866,220,220,,22,0.52,,,,,,,,,,6/4/2024 12:00:00 PM,1,Significant,Satisfactory,9/1/2017 12:00:00 PM,,5/20/2024 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-120.713,39.7636000000001
1028,CA00033,,CA00033,11/8/2024 12:00:00 PM,Bethany Forebay,,State,State,1.045,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,37.7835,-121.6178,California,"Alameda, California",,,Tr Italian Slough,"Congressional District 14, California",Eric Swalwell (D),,,,,,,,,Water Supply,"Irrigation, Recreation, Water Supply",Earth,Earth,,,95,90,,95,695,,1961,5000,5000,,163,4.46,,,,,,,,,,11/7/2023 12:00:00 PM,1,High,Satisfactory,1/12/2022 12:00:00 PM,,2/15/2024 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-121.6178,37.7835000000001
1029,CA00041,,CA00041,1/19/2024 12:00:00 PM,Thermalito Forebay,,State,State,02100-04-01,0,DWR,No,Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,FERC,39.5252,-121.6012,California,"Butte, California",Oroville,6,Feather River - Off Stream    ,"Congressional District 01, California",Doug LaMalfa (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,"Hydroelectric, Recreation",Earth,Earth,Stone,Rock,91,65,91,91,15900,,1967,11768,11768,11768,630,5,5000,Uncontrolled,30,,,,,,,8/29/2023 12:00:00 PM,1,High,Satisfactory,9/29/2023 12:00:00 PM,,1/3/2023 12:00:00 PM,System.Byte[],,No,,Yes,No,N/A,Normal Operations,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-121.6012,39.5252
1030,CA00042,,CA00042,1/19/2024 12:00:00 PM,Thermalito Afterbay,,State,State,02100-05-01,0,DWR,No,Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,FERC,39.4771,-121.6871,California,"Butte, California",Marysville,20,Feather River - Off Stream    ,"Congressional District 01, California",Doug LaMalfa (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Water Supply,"Hydroelectric, Irrigation, Recreation, Water Supply",Earth,Earth,Stone,Rock,39,32,39,39,42000,,1967,57041,,57041,6900,13.3,17000,Controlled,70,,,,,,,8/23/2023 12:00:00 PM,1,High,Fair,9/29/2023 12:00:00 PM,,1/3/2023 12:00:00 PM,System.Byte[],,No,,Yes,No,N/A,Under Remediation,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-121.6871,39.4771000000001
1031,CA00114,,CA00114,9/13/2024 12:00:00 PM,Sutherland,,Local Government,Local Government,8.01,0,,Yes,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,33.1182,-116.7852,California,"San Diego, California",San Pasqual,9.9,Santa Ysabel Creek,"Congressional District 48, California",Duncan Hunter (R),,,,,,,,,Other,"Other, Water Supply",Multi-Arch,Multi-Arch,,,162,145,,162,1020,,1954,29000,29000,,550,54,,,,,,,,,,1/10/2024 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,8/16/2019 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-116.7852,33.1182000000001
1032,CA00116,,CA00116,4/2/2025 12:00:00 PM,Murray,,Local Government,Local Government,8.012,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,32.7823,-117.0469,California,"San Diego, California","La Mesa, CA",0,Chaparral,"Congressional District 51, California",Susan A. Davis (D),,,,,,,,,Water Supply,"Irrigation, Water Supply",Multi-Arch,Multi-Arch,,,110,104,,110,870,,1918,4818,4818,,200,3.6,2312,,,,,,,,,3/14/2024 12:00:00 PM,1,High,Fair,7/21/2023 12:00:00 PM,,8/1/2019 12:00:00 PM,System.Byte[],,No,,No,No,N/A,"Under Investigation, Planning, Permitting, or Design for Remediation",2/22/2023 12:00:00 PM,https://damsafety.org/california,-117.0469,32.7823000000001
1033,CA00132,,CA00132,9/13/2024 12:00:00 PM,James H. Turner,,Local Government,Local Government,10.021,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,37.5759,-121.8462,California,"Alameda, California",Sunol,3.4,San Antonio Creek,"Congressional District 14, California",Eric Swalwell (D),,,,,,,,,Water Supply,Water Supply,Earth,Earth,,,193,175,,193,2160,,1964,50500,50500,,825,39.7,,,,,,,,,,1/26/2024 12:00:00 PM,1,High,Satisfactory,9/4/2019 12:00:00 PM,,8/1/2023 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-121.8462,37.5759
1034,CA00215,,CA00215,9/13/2024 12:00:00 PM,Palos Verdes Reservoir,,Public Utility,Public Utility,35.004,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,33.7721,-118.3205,California,"Los Angeles, California",,,Tr La Harbor,"Congressional District 36, California",Ted Lieu (D),,,,,,,,,Water Supply,Water Supply,Earth,Earth,,,82,67,,82,2150,,1939,1100,1100,,27,0.05,245,,,,,,,,,10/12/2023 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,1/4/2024 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-118.3205,33.7721000000001
1035,CA00223,,CA00223,9/13/2024 12:00:00 PM,Robert A Skinner,,Public Utility,Public Utility,35.012,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,33.5961,-117.0703,California,"Riverside, California",Winchester,0.65,Tucalota Creek,"Congressional District 41, California",Ken Calvert (R),,,,,,,,,Other,"Other, Water Supply",Earth,Earth,,,109,96,,109,5150,,1973,43800,43800,,860,51.5,,,,,,,,,,10/10/2023 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,10/9/2023 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-117.0703,33.5961
1036,CA00224,,CA00224,9/13/2024 12:00:00 PM,Lake Gregory,,Local Government,Local Government,1803.003,0,,Yes,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,34.2479,-117.2669,California,"San Bernardino, California",,,Houston Creek,"Congressional District 23, California",Paul Cook (R),,,,,,,,,Water Supply,"Irrigation, Recreation, Water Supply",Earth,Earth,,,90,80,,90,475,,1938,2100,2100,,88,2.8,,,,,,,,,,5/9/2024 12:00:00 PM,1,High,Satisfactory,4/10/2019 12:00:00 PM,,9/16/2021 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-117.2669,34.2479000000001
1037,CA00228,,CA00228,4/2/2025 12:00:00 PM,Weber,,Public Utility,Public Utility,53,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,38.7163,-120.6925,California,"El Dorado, California",Placerville,6,Nfk Weber Creek,"Congressional District 03, California",Tom McClintock (R),,,,,,,,,Water Supply,"Irrigation, Water Supply",Multi-Arch,Multi-Arch,,,92,88,,92,374,,1924,1100,1100,,41,9.4,,,,,,,,,,3/20/2024 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,12/1/1997 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-120.6925,38.7163
1041,CA00307,,CA00307,1/19/2024 12:00:00 PM,Cpud Middle Fork,Schaad'S Reservoir,Public Utility,Public Utility,07506-01-01,0,,No,Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,FERC,38.3848,-120.4425,California,"Calaveras, California",West Point                                        ,5,Middle Fork Mokelumne River   ,"Congressional District 05, California",Tom McClintock (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,"Fire Protection, Stock, Or Small Fish Pond, Hydroelectric",Earth,Earth,Stone,Rock,102,82,112,112,900,,1939,2525,2525,1650,45,28.5,13500,Uncontrolled,27,,,,,,,8/30/2023 12:00:00 PM,1,High,Satisfactory,9/29/2023 12:00:00 PM,,4/19/2018 12:00:00 PM,System.Byte[],,No,,Yes,No,N/A,Normal Operations,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-120.4425,38.3848
1042,CA00310,,CA00310,9/13/2024 12:00:00 PM,Kimball Creek,,Local Government,Local Government,83,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,38.6202,-122.6133,California,"Napa, California",Calistoga,2.5,Kimball Creek,"Congressional District 04, California",Mike Thompson (D),,,,,,,,,Water Supply,Water Supply,Earth,Earth,,,80,74,,80,325,,1939,405,405,,14,3.44,,,,,,,,,,4/3/2024 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,8/29/2019 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.6133,38.6202000000001
1043,CA00054,,CA00054,11/11/2024 12:00:00 PM,Perris,,State,State,1.068,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,33.8633,-117.1978,California,"Riverside, California",Perris,0.4,Bernasconi Pass,"Congressional District 41, California",Ken Calvert (R),,,,,,,,,Water Supply,"Irrigation, Recreation, Water Supply",Earth,Earth,,,130,120,,130,11600,,1973,131452,131452,,2340,10,,,,,,,,,,11/15/2023 12:00:00 PM,1,High,Satisfactory,1/24/2018 12:00:00 PM,,12/31/2023 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-117.1978,33.8633
1044,CA00392,,CA00392,1/19/2024 12:00:00 PM,Coleman Forebay,,Private,Private,01121-05-01,0,,No,No,No,,No,No,No,FERC,40.412841,-122.114242,California,"Shasta, California",Shingletown                                       ,7,South Fork Battle Creek - OS  ,"Congressional District 01, California",Doug LaMalfa (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,Hydroelectric,Earth,Earth,,,20,,,20,2604,,1911,76.4,76,76,,,500,Uncontrolled,114,,,,,,,9/7/2017 12:00:00 PM,3,Low,Poor,9/29/2023 12:00:00 PM,,1/3/2023 12:00:00 PM,System.Byte[],,No,,Yes,No,N/A,Under Remediation,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-122.114242,40.4128410000001
1045,CA00394,,CA00394,1/19/2024 12:00:00 PM,North Battle Creek,,Private,Private,01121-01-01,0,,No,Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,FERC,40.602924,-121.655198,California,"Shasta, California",Macumber Flat                                     ,9,North Fork Battle Creek       ,"Congressional District 01, California",Doug LaMalfa (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,Hydroelectric,Rockfill,Rockfill,,,47,,,47,439,,1909,1090,1090,1090,80,6.6,2400,Uncontrolled,36,,,,,,,10/4/2022 12:00:00 PM,1,High,Satisfactory,9/29/2023 12:00:00 PM,,12/30/2022 12:00:00 PM,System.Byte[],,No,,Yes,No,N/A,Normal Operations,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-121.655198,40.602924
1046,CA00403,,CA00403,1/19/2024 12:00:00 PM,Pit No. 5 Open Conduit,,Private,Private,00233-04-01,0,,No,Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,FERC,40.998697,-121.895469,California,"Shasta, California",Big Bend                                          ,2,Pit River                     ,"Congressional District 01, California",Doug LaMalfa (R),,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,Hydroelectric,Hydroelectric,Earth,Earth,,,71,67,71,71,2964,,1944,1044,1044,1000,48,4.3,4000,Uncontrolled,59,,,,,,,7/26/2023 12:00:00 PM,1,High,Fair,9/29/2023 12:00:00 PM,,12/30/2022 12:00:00 PM,System.Byte[],,No,,Yes,No,N/A,Under Remediation,9/29/2023 12:00:00 PM,https://www.ferc.gov/dam-safety-and-inspections,-121.895469,40.998697
1047,CA00406,,CA00406,4/2/2025 12:00:00 PM,Morris,,Local Government,Local Government,2036,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,39.3702,-123.301,California,"Mendocino, California",Willits,3,James Creek,"Congressional District 02, California",Jared Huffman (D),,,,,,,,,Water Supply,Water Supply,Arch,Arch,,,66,58,,66,143,,1927,621,940,,49.2,5.06,,,,,,,,,,4/9/2024 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,8/8/2023 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-123.301,39.3702000000001
1048,CA00133,,CA00133,9/13/2024 12:00:00 PM,University Mound South Basin,,Local Government,Local Government,10.022,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,37.7232,-122.4122,California,"San Francisco, California",San Francisco,0,Offstream,"Congressional District 15, California",Nancy Pelosi (D),,,,,,,,,Water Supply,Water Supply,Earth,Earth,,,61,60,,61,1150,,1937,250,250,,11,,,,,,,,,,,11/13/2023 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,1/27/2020 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.4122,37.7232000000001
1049,CA00483,,CA00483,11/25/2024 12:00:00 PM,Toreson,,Private,Private,153,0,,Yes,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,41.3927,-120.8214,California,"Modoc, California",,,Toms Creek,"Congressional District 01, California",Doug LaMalfa (R),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,55,50,,55,315,,1898,1140,1140,,92,17.8,,,,,,,,,,5/29/2024 12:00:00 PM,1,Significant,Satisfactory,9/1/2017 12:00:00 PM,,3/18/2024 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-120.8214,41.3927
1050,CA00494,,CA00494,11/12/2024 12:00:00 PM,Donovan,,Private,Private,179,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,41.4099,-120.6935,California,"Modoc, California",Canby,0,Rye Grass Swale,"Congressional District 01, California",Doug LaMalfa (R),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,28,22,,28,2750,,1953,1234,1234,,207,35.2,,,,,,,,,,6/27/2024 12:00:00 PM,1,Significant,Satisfactory,9/1/2017 12:00:00 PM,,12/29/2023 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-120.6935,41.4099000000001
1051,CA00501,,CA00501,9/13/2024 12:00:00 PM,George Fiock No. 1,,Private,Private,189,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,41.6944,-122.518,California,"Siskiyou, California",,,Tr Shasta River,"Congressional District 01, California",Doug LaMalfa (R),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,19,16,,19,725,,1954,223,223,,38,0.63,,,,,,,,,,6/19/2024 12:00:00 PM,1,Low,Satisfactory,9/1/2017 12:00:00 PM,,,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-122.518,41.6944
1052,CA00234,,CA00234,9/13/2024 12:00:00 PM,Cuyamaca,,Public Utility,Public Utility,56,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,32.9906,-116.5863,California,"San Diego, California",,,Boulder Creek,"Congressional District 48, California",Duncan Hunter (R),,,,,,,,,Other,"Irrigation, Other, Water Supply",Earth,Earth,,,40,34,,40,665,,1887,11740,11740,,976,12,,,,,,,,,,9/19/2023 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,7/30/2021 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-116.5863,32.9906
1053,CA00236,,CA00236,11/13/2024 12:00:00 PM,Chet Harritt,,Public Utility,Public Utility,56.009,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,32.8568,-116.893,California,"San Diego, California",,,Quail Can Crk,"Congressional District 48, California",Duncan Hunter (R),,,,,,,,,Water Supply,"Irrigation, Recreation, Water Supply",Earth,Earth,,,200,192,,200,1117,,1962,9790,9790,,176,1.8,,,,,,,,,,9/19/2023 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,7/30/2021 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-116.893,32.8568000000001
1054,CA00238,,CA00238,11/12/2024 12:00:00 PM,Harold Reservoir,,Public Utility,Public Utility,57.002,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,34.5461,-118.1115,California,"Los Angeles, California",Palmdale,2,Tr Antelope Val,"Congressional District 27, California",Katie Hill (D),,,,,,,,,Water Supply,"Irrigation, Water Supply",Earth,Earth,,,30,19,,30,2800,,1891,3870,3870,,218,4.63,,,,,,,,,,6/25/2024 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,2/18/2020 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-118.1115,34.5461
1055,CA00239,,CA00239,4/2/2025 12:00:00 PM,Crocker Diversion,,Public Utility,Public Utility,58,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,37.5152,-120.3697,California,"Merced, California",,,Merced River,"Congressional District 13, California",Jim Costa (D),,,,,,,,,Other,"Irrigation, Other, Water Supply",Gravity,Gravity,,,22,17,,22,725,,1910,300,300,,56,1045,,,,,,,,,,2/7/2024 12:00:00 PM,1,Low,Satisfactory,9/1/2017 12:00:00 PM,,,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-120.3697,37.5152
1056,CA00587,,CA00587,11/12/2024 12:00:00 PM,J.C. Jacobsen,,Public Utility,Public Utility,1083,0,,No,Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,CA,35.1065,-118.5374,California,"Kern, California",Stallion Springs,5.5,Tr Chanac Creek,"Congressional District 20, California",Kevin McCarthy (R),,,,,,,,,Water Supply,"Irrigation, Tailings, Water Supply",Earth,Earth,,,56,49,,56,3900,,1973,1820,1820,,76,1.3,,,,,,,,,,2/12/2024 12:00:00 PM,1,High,Satisfactory,9/1/2017 12:00:00 PM,,8/27/2019 12:00:00 PM,System.Byte[],,No,,No,No,N/A,Normal Operations,2/22/2023 12:00:00 PM,https://damsafety.org/california,-118.5374,35.1065
